,stock_no,stock_name
11211,077390,為升凱基05購05
11212,077391,華通凱基05購05
11213,077392,台積電凱基06購08
11214,077393,台積電凱基0B購01
11215,077394,旺宏凱基05購04
11216,077395,長榮凱基05購05
11217,077396,萬海凱基05購05
11218,077397,長榮航凱基05購03
11219,077398,奇鋐凱基05購03
11220,077399,奇鋐凱基05購05
11221,077400,玉晶光凱基05購11
11222,077401,上緯控凱基06購03
11223,077402,智伸科凱基05購01
11224,077403,康舒凱基05購01
11225,077404,啟碁凱基05購02
11226,077405,南六凱基05購03
11227,077406,南電凱基05購06
11228,077407,世紀鋼凱基05購06
11229,077408,臺股指凱基05購34
11230,077409,臺股指凱基05購35
11231,077410,臺股指凱基05購36
11232,077411,中興電統一07購02
11233,077412,長榮統一06購01
11234,077413,SGBR2X元富0B購02
11235,077414,金像電元富05購04
11236,077415,金像電元富05購05
11237,077416,聯發科元富05購10
11238,077417,聯發科元富05購11
11239,077418,萬海元富05購03
11240,077419,萬海元富07購01
11241,077420,長榮航元富08購03
11242,077421,麗豐元富07購01
11243,077422,台郡元富0B購01
11244,077423,力麗國泰07購01
11245,077424,嘉澤國泰07購01
11246,077425,上緯控國泰07購01
11247,077426,中興電富邦05購01
11248,077427,亞德客富邦06購01
11249,077428,聯電富邦05購02
11250,077429,華邦電富邦05購01
11251,077430,奇鋐富邦06購02
11252,077431,聯成永豐05購02
11253,077432,中興電永豐05購04
11254,077433,華城永豐05購01
11255,077434,為升永豐05購02
11256,077435,佳世達永豐05購01
11257,077436,長榮永豐05購05
11258,077437,萬海永豐05購05
11259,077438,長榮航永豐05購02
11260,077439,晶豪科永豐05購03
11261,077440,大立光永豐05購05
11262,077441,彩晶永豐05購01
11263,077442,惠特永豐05購01
11264,077443,世紀鋼永豐05購01
11265,077444,元石油國票06購01
11266,077445,元石油國票07購02
11267,077446,元石油國票08購02
11268,077447,SGBR2X國票06購02
11269,077448,SGBR2X國票07購01
11270,077449,力麗國票06購01
11271,077450,中興電國票06購04
11272,077451,中鴻國票06購01
11273,077452,新光鋼國票07購01
11274,077453,聯電國票06購04
11275,077454,聯電國票06購05
11276,077455,聯電國票06購06
11277,077456,聯電國票07購04
11278,077457,國巨國票05購05
11279,077458,國巨國票06購01
11280,077459,國巨國票06購02
11281,077460,國巨國票06購03
11282,077461,國巨國票07購01
11283,077462,國巨國票07購02
11284,077463,國巨國票08購01
11285,077464,國巨國票08購02
11286,077465,旺宏國票07購01
11287,077466,旺宏國票08購01
11288,077467,華邦電國票06購03
11289,077468,金像電國票06購02
11290,077469,聯發科國票06購04
11291,077470,聯發科國票06購05
11292,077471,聯發科國票08購05
11293,077472,聯發科國票08購06
11294,077473,長榮國票07購03
11295,077474,萬海國票07購02
11296,077475,奇鋐國票06購02
11297,077476,欣興國票07購01
11298,077477,玉晶光國票08購03
11299,077478,上緯控國票06購03
11300,077479,上緯控國票07購02
11301,077480,祥碩國票06購05
11302,077481,康舒國票07購01
11303,077482,南電國票07購02
11304,077483,世紀鋼國票07購01
11305,077484,世紀鋼國票07購02
11306,077485,世紀鋼國票07購03
11307,077486,世紀鋼國票08購01
11308,077487,世紀鋼國票08購02
11309,077488,元黃金中信06購01
11310,077489,元石油中信06購01
11311,077490,元石油中信08購01
11312,077491,元油反中信08購01
11313,077492,FBVIX中信08購01
11314,077493,SGBR2X中信08購01
11315,077494,SGBR2X中信08購02
11316,077495,友達中信05購02
11317,077496,景碩中信05購01
11318,077497,聯成兆豐05購01
11319,077498,中興電兆豐06購02
11320,077499,友訊兆豐05購01
11321,077500,長榮兆豐05購01
11322,077501,萬海兆豐05購03
11323,077502,長榮航兆豐05購01
11324,077503,中磊兆豐06購02
11325,077504,瑞儀兆豐06購01
11326,077505,帆宣兆豐06購01
11327,077506,康舒兆豐05購01
11328,077507,南電兆豐05購03
11329,077508,南茂兆豐06購01
11330,077509,中鋼群益06購01
11331,077510,華通群益06購01
11332,077511,鴻海群益05購04
11333,077512,欣興群益05購07
11334,077513,嘉澤群益06購01
11335,077514,康舒群益05購01
11336,077515,南電群益05購08
11337,077516,世紀鋼群益06購01
11338,077517,嘉聯益康和05購01
11339,077518,台灣50凱基05購21
11340,077519,台灣50凱基05購22
11341,077520,T50反1凱基06購09
11342,077521,T50反1凱基08購01
11343,077522,臺指反凱基05購02
11344,077523,美指2X凱基06購01
11345,077524,SGBR2X凱基05購02
11346,077525,中興電凱基05購04
11347,077526,大成鋼凱基05購04
11348,077527,國巨凱基05購11
11349,077528,台積電凱基05購14
11350,077529,華邦電凱基05購06
11351,077530,金像電凱基06購01
11352,077531,聯詠凱基05購02
11353,077532,欣興凱基06購03
11354,077533,景碩凱基06購02
11355,077534,玉晶光凱基05購12
11356,077535,京鼎凱基05購02
11357,077536,中磊凱基05購02
11358,077537,彩晶凱基08購02
11359,077538,樺漢凱基05購02
11360,077539,南電凱基05購07
11361,077540,世紀鋼凱基05購07
11362,077541,大成鋼國票06購04
11363,077542,精元國票06購01
11364,077543,友達國票08購01
11365,077544,友達國票08購02
11366,077545,友達國票08購03
11367,077546,國揚國票06購01
11368,077547,長榮航國票06購01
11369,077548,長榮航國票08購01
11370,077549,欣興國票06購05
11371,077550,玉晶光國票08購05
11372,077551,群創國票06購01
11373,077552,群創國票06購02
11374,077553,群創國票08購02
11375,077554,彩晶國票08購01
11376,077555,彩晶國票08購02
11377,077556,南電國票08購01
11378,077557,聚陽元大05購02
11379,077558,中興電元大05購05
11380,077559,聯電元大05購13
11381,07755P,台灣50國票03售01
11382,077560,聯電元大05購14
11383,077561,聯電元大05購15
11384,077562,國巨元大05購20
11385,077563,國巨元大05購21
11386,077564,台積電元大05購32
11387,077565,台積電元大05購33
11388,077566,台積電元大05購34
11389,077567,華邦電元大05購08
11390,077568,友達元大05購03
11391,077569,友達元大05購04
11392,07756P,台灣50國票04售01
11393,077570,聯發科元大05購19
11394,077571,聯發科元大05購20
11395,077572,國揚元大05購05
11396,077573,冠德元大05購01
11397,077574,長榮元大05購09
11398,077575,長榮航元大05購04
11399,077576,玉晶光元大05購08
11400,077577,玉晶光元大05購09
11401,077578,玉晶光元大06購08
11402,077579,玉晶光元大06購09
11403,077580,京鼎元大05購07
11404,077581,新唐元大05購01
11405,077582,彩晶元大08購01
11406,077583,訊芯元大05購05
11407,077584,申豐元大05購03
11408,077585,中興電統一08購01
11409,077586,聯電統一06購09
11410,077587,聯電統一08購01
11411,077588,國巨統一06購06
11412,077589,國揚統一06購02
11413,077590,長榮統一06購02
11414,077591,長榮統一08購01
11415,077592,玉晶光統一09購02
11416,077593,中磊統一06購01
11417,077594,嘉聯益統一08購01
11418,077595,台表科統一08購01
11419,077596,美利達統一05購02
11420,077597,中興電元富05購03
11421,077598,中興電元富08購01
11422,077599,台達電元富08購03
11423,077600,順德元富05購01
11424,077601,欣興元富05購08
11425,077602,玉晶光元富0B購02
11426,077603,台積電台新05購02
11427,077604,T50反1國泰08購01
11428,077605,長榮國泰08購01
11429,077606,大立光國泰08購02
11430,077607,欣興國泰08購02
11431,077608,元石油富邦08購01
11432,077609,道瓊銀富邦08購01
11433,077610,東鋼富邦06購01
11434,077611,聯發科富邦05購01
11435,077612,長榮航富邦05購01
11436,077613,南電富邦08購01
11437,077614,中興電永豐05購05
11438,077615,中興電永豐06購01
11439,077616,榮成永豐05購02
11440,077617,大成鋼永豐05購02
11441,077618,台達電永豐05購02
11442,077619,順德永豐05購01
11443,077620,欣興永豐05購04
11444,077621,智伸科永豐05購02
11445,077622,祥碩永豐05購01
11446,077623,嘉聯益永豐05購03
11447,077624,帆宣永豐05購02
11448,077625,南電永豐05購03
11449,077626,聯電中信07購01
11450,077627,台積電中信08購03
11451,077628,台積電中信0A購01
11452,077629,台積電中信0A購02
11453,077630,台積電群益08購01
11454,077631,微星群益06購01
11455,077632,可成群益08購01
11456,077633,長榮群益08購01
11457,077634,國泰金群益06購01
11458,077635,聯鈞群益06購01
11459,077636,日月光群益07購01
11460,077637,嘉聯益群益06購01
11461,077638,大亞國票07購01
11462,077639,國揚國票07購01
11463,077640,亞光國票07購01
11464,077641,聯詠國票06購02
11465,077642,聯詠國票07購01
11466,077643,景碩國票07購01
11467,077644,京鼎國票06購01
11468,077645,京鼎國票07購01
11469,077646,大亞統一08購01
11470,077647,南港統一06購01
11471,077648,金像電統一07購01
11472,077649,微星統一06購01
11473,077650,國揚統一08購01
11474,077651,長榮統一06購03
11475,077652,長榮航統一09購01
11476,077653,欣興統一06購07
11477,077654,景碩統一07購03
11478,077655,景碩統一08購01
11479,077656,台表科統一06購01
11480,077657,GIS統一06購02
11481,077658,南電統一07購02
11482,077659,南電統一07購03
11483,077660,台灣50元富06購02
11484,077661,台灣50元富0C購01
11485,077662,華通元富06購01
11486,077663,南亞科元富07購03
11487,077664,南電元富06購02
11488,077665,T50反1凱基09購01
11489,077666,上証2X凱基07購01
11490,077667,聚陽凱基06購01
11491,077668,大亞凱基06購01
11492,077669,台玻凱基06購01
11493,077670,國巨凱基07購01
11494,077671,台積電凱基0A購01
11495,077672,旺宏凱基07購01
11496,077673,金像電凱基06購02
11497,077674,瑞昱凱基06購01
11498,077675,漢唐凱基06購02
11499,077676,友達凱基08購01
11500,077677,興勤凱基06購01
11501,077678,京元電凱基06購01
11502,077679,全新凱基06購01
11503,077680,富邦金凱基06購01
11504,077681,聯詠凱基07購01
11505,077682,玉晶光凱基09購01
11506,077683,合勤控凱基06購01
11507,077684,新唐凱基06購01
11508,077685,泰鼎凱基06購01
11509,077686,康控凱基06購01
11510,077687,瑞儀凱基07購01
11511,077688,惠特凱基06購01
11512,077689,長華凱基06購01
11513,077690,臺股指凱基08購01
11514,077691,元石油元大06購01
11515,077692,元石油元大06購02
11516,077693,道瓊反元大06購03
11517,077694,FBVIX元大06購02
11518,077695,台達化元大06購01
11519,077696,國喬元大06購01
11520,077697,國喬元大06購02
11521,077698,聯電元大06購06
11522,077699,聯電元大06購07
11523,077700,華通元大07購02
11524,077701,國巨元大06購05
11525,077702,國巨元大06購06
11526,077703,國巨元大06購07
11527,077704,台積電元大06購06
11528,077705,友訊元大06購02
11529,077706,友訊元大06購03
11530,077707,興勤元大06購01
11531,077708,聯發科元大06購07
11532,077709,聯發科元大06購08
11533,077710,奇力新元大06購01
11534,077711,華新科元大06購03
11535,077712,華新科元大06購04
11536,077713,萬海元大06購03
11537,077714,萬海元大06購04
11538,077715,萬海元大06購05
11539,077716,欣興元大06購02
11540,077717,欣興元大07購02
11541,077718,景碩元大06購03
11542,077719,景碩元大06購04
11543,077720,景碩元大07購01
11544,077721,玉晶光元大09購01
11545,077722,炎洲元大06購01
11546,077723,中磊元大06購01
11547,077724,嘉聯益元大06購04
11548,077725,南電元大06購02
11549,077726,南電元大06購03
11550,077727,南電元大07購01
11551,077728,長華元大06購01
11552,077729,康那香元大06購01
11553,077730,世紀鋼元大06購03
11554,077731,旺宏國泰08購01
11555,077732,玉晶光國泰08購03
11556,077733,台化富邦08購01
11557,077734,榮成富邦07購01
11558,077735,台積電富邦09購01
11559,077736,康控富邦08購01
11560,077737,精成科富邦06購01
11561,077738,台玻永豐06購01
11562,077739,東鋼永豐06購01
11563,077740,台積電永豐06購01
11564,077741,旺宏永豐06購01
11565,077742,長榮永豐06購01
11566,077743,長榮永豐06購02
11567,077744,欣興永豐06購01
11568,077745,玉晶光永豐06購01
11569,077746,玉晶光永豐06購02
11570,077747,瑞儀永豐06購01
11571,077748,惠特永豐06購01
11572,077749,長華永豐06購01
11573,077750,恆大中信06購01
11574,077751,大亞中信06購01
11575,077752,南電中信09購01
11576,077753,鴻海兆豐07購01
11577,077754,大成鋼國票08購01
11578,077755,光罩國票08購01
11579,077756,中工國票07購01
11580,077757,日月光國票07購01
11581,077758,達運國票07購01
11582,077759,惠特國票07購02
11583,077760,南電國票07購04
11584,077761,臺指反群益07購01
11585,077762,道瓊反群益09購01
11586,077763,SGBR2X群益06購01
11587,077764,大成鋼群益06購02
11588,077765,聯電群益06購01
11589,077766,聯電群益06購02
11590,077767,光罩群益06購01
11591,077768,宏達電群益07購01
11592,077769,國揚群益06購01
11593,077770,盛群群益06購01
11594,077771,南電群益07購01
11595,077772,華通麥證06購01
11596,077773,玉晶光麥證06購01
11597,077774,聯電康和06購01
11598,077775,同欣電康和06購01
11599,077776,台灣50凱基06購07
11600,077777,T50反1凱基07購07
11601,077778,臺指反凱基06購03
11602,077779,道瓊銀凱基07購01
11603,077780,榮成凱基07購01
11604,077781,東鋼凱基06購01
11605,077782,大成鋼凱基07購01
11606,077783,上銀凱基06購01
11607,077784,泰豐凱基06購01
11608,077785,聯電凱基07購01
11609,077786,台達電凱基06購02
11610,077787,光罩凱基07購01
11611,077788,順德凱基07購01
11612,077789,台光電凱基06購01
11613,077790,精元凱基07購01
11614,077791,建準凱基06購01
11615,077792,義隆凱基07購01
11616,077793,國揚凱基06購02
11617,077794,中工凱基08購01
11618,077795,日月光凱基07購01
11619,077796,同欣電凱基06購01
11620,077797,同欣電凱基07購01
11621,077798,同欣電凱基08購01
11622,077799,南電凱基08購01
11623,077800,元石油元富06購01
11624,077801,元石油元富09購01
11625,077802,東鋼元富07購01
11626,077803,華通元富06購02
11627,077804,華邦電元富07購02
11628,077805,佳世達元富09購03
11629,077806,松翰元富06購01
11630,077807,瑞儀元富08購01
11631,077808,世紀鋼元富06購01
11632,077809,世紀鋼元富06購02
11633,077810,日月光統一08購01
11634,077811,同欣電統一08購01
11635,077812,南電統一09購01
11636,077813,上証2X元大06購01
11637,077814,上証2X元大06購02
11638,077815,滬深2X元大07購04
11639,077816,滬深2X元大07購05
11640,077817,A50正2元大06購01
11641,077818,A50正2元大06購02
11642,077819,SGBR2X元大06購01
11643,077820,SGBR2X元大06購02
11644,077821,SGBR2X元大06購03
11645,077822,聯成元大07購01
11646,077823,南紡元大06購01
11647,077824,南紡元大06購02
11648,077825,東鋼元大06購02
11649,077826,中鴻元大06購01
11650,077827,大成鋼元大06購02
11651,077828,新光鋼元大06購01
11652,077829,為升元大06購01
11653,077830,為升元大06購02
11654,077831,聯電元大06購08
11655,077832,聯電元大06購09
11656,077833,鴻海元大06購05
11657,077834,鴻海元大06購06
11658,077835,國巨元大06購08
11659,077836,國巨元大06購09
11660,077837,國巨元大06購10
11661,077838,台積電元大06購09
11662,077839,台積電元大06購10
11663,077840,宏碁元大06購01
11664,077841,宏碁元大07購01
11665,077842,長榮元大06購03
11666,077843,長榮元大06購04
11667,077844,長榮元大08購02
11668,077845,萬海元大06購06
11669,077846,萬海元大06購07
11670,077847,亞光元大06購01
11671,077848,景碩元大06購05
11672,077849,景碩元大06購06
11673,077850,京鼎元大06購01
11674,077851,京鼎元大06購02
11675,077852,上緯控元大06購01
11676,077853,祥碩元大06購01
11677,077854,中磊元大07購01
11678,077855,南電元大06購05
11679,077856,南電元大06購06
11680,077857,南電元大06購07
11681,077858,世紀鋼元大06購04
11682,077859,T50反1台新0C購01
11683,07785P,鴻海中信04售03
11684,077860,日月光國泰08購01
11685,077861,台達電富邦08購01
11686,077862,京元電富邦07購01
11687,077863,聯發科富邦06購03
11688,077864,欣興富邦06購01
11689,077865,中石化永豐06購01
11690,077866,華新永豐06購01
11691,077867,華邦電永豐06購01
11692,077868,金像電永豐06購01
11693,077869,興勤永豐06購01
11694,077870,華立永豐06購01
11695,077871,同欣電永豐06購01
11696,077872,長華永豐06購02
11697,077873,玉晶光中信0A購01
11698,077874,華通兆豐06購02
11699,077875,宏達電兆豐06購01
11700,077876,智原兆豐06購01
11701,077877,瑞儀兆豐07購01
11702,077878,同欣電兆豐06購01
11703,077879,訊芯兆豐06購01
11704,077880,亞德客麥證06購01
11705,077881,聯電麥證06購01
11706,077882,京元電麥證06購01
11707,077883,群創麥證06購01
11708,077884,中石化國票07購01
11709,077885,上銀國票07購01
11710,077886,為升國票08購01
11711,077887,南亞科國票08購01
11712,077888,華新科國票08購02
11713,077889,正文國票07購01
11714,077890,瀚宇博國票07購01
11715,077891,滬深2X凱基07購01
11716,077892,臺指反凱基09購01
11717,077893,道瓊銀凱基06購01
11718,077894,恆大凱基06購01
11719,077895,聯電凱基06購04
11720,077896,金寶凱基06購01
11721,077897,華邦電凱基06購01
11722,077898,致茂凱基06購01
11723,077899,正崴凱基06購01
11724,077900,南亞科凱基07購01
11725,077901,友達凱基07購03
11726,077902,聯發科凱基0C購01
11727,077903,萬海凱基07購01
11728,077904,大立光凱基07購03
11729,077905,晶技凱基06購02
11730,077906,群創凱基07購02
11731,077907,日月光凱基08購01
11732,077908,瀚宇博凱基06購01
11733,077909,彩晶凱基09購01
11734,077910,聯茂凱基07購01
11735,077911,GIS凱基07購01
11736,077912,晶碩凱基06購01
11737,077913,世紀鋼凱基06購01
11738,077914,T50反1群益08購01
11739,077915,滬深2X群益07購01
11740,077916,榮成群益06購01
11741,077917,中鴻群益06購01
11742,077918,台積電群益07購01
11743,077919,台積電群益07購02
11744,077920,光磊群益06購01
11745,077921,順德群益06購01
11746,077922,精元群益06購01
11747,077923,漢唐群益06購01
11748,077924,友達群益06購01
11749,077925,友達群益09購01
11750,077926,京元電群益06購01
11751,077927,奇力新群益06購01
11752,077928,義隆群益06購01
11753,077929,華新科群益06購01
11754,077930,大立光群益07購01
11755,077931,群創群益06購01
11756,077932,群創群益09購01
11757,077933,臻鼎群益07購01
11758,077934,瀚宇博群益06購01
11759,077935,彩晶群益06購01
11760,077936,彩晶群益09購02
11761,077937,瑞儀群益06購01
11762,077938,台郡群益07購01
11763,077939,同欣電群益06購01
11764,077940,南六群益06購01
11765,077941,大成鋼統一08購01
11766,077942,微星統一08購01
11767,077943,玉晶光統一07購06
11768,077944,臻鼎統一08購01
11769,077945,同欣電統一08購02
11770,077946,南電統一0A購01
11771,077947,大成鋼元富06購01
11772,077948,為升元富07購01
11773,077949,旺宏元富06購01
11774,077950,旺宏元富06購02
11775,077951,奇力新元富06購01
11776,077952,同欣電元富06購01
11777,077953,台表科元富06購01
11778,077954,南電元富06購05
11779,077955,上証2X元大07購01
11780,077956,滬深2X元大07購06
11781,077957,道瓊反元大06購04
11782,077958,聯成元大06購01
11783,077959,台玻元大06購02
11784,077960,中鋼元大06購01
11785,077961,旺宏元大06購03
11786,077962,旺宏元大06購04
11787,077963,順德元大06購01
11788,077964,友達元大06購01
11789,077965,友達元大07購03
11790,077966,國揚元大06購01
11791,077967,長榮元大06購05
11792,077968,長榮元大06購06
11793,077969,華立元大06購01
11794,077970,禾伸堂元大06購01
11795,077971,聯詠元大06購02
11796,077972,聯詠元大06購03
11797,077973,聯詠元大06購04
11798,077974,景碩元大06購08
11799,077975,玉晶光元大06購10
11800,077976,群創元大06購01
11801,077977,群創元大08購01
11802,077978,健策元大06購03
11803,077979,臻鼎元大06購01
11804,077980,臻鼎元大06購02
11805,077981,祥碩元大06購02
11806,077982,彩晶元大06購02
11807,077983,彩晶元大08購02
11808,077984,嘉聯益元大08購01
11809,077985,瑞儀元大06購01
11810,077986,帆宣元大06購01
11811,077987,矽格元大06購01
11812,077988,台郡元大06購01
11813,077989,惠特元大07購01
11814,077990,惠特元大08購01
11815,077991,南電元大06購08
11816,077992,南電元大06購09
11817,077993,達方元大06購01
11818,077994,榮成國泰08購01
11819,077995,台積電國泰08購02
11820,077996,友達國泰08購01
11821,077997,群創國泰08購01
11822,077998,彩晶國泰08購02
11823,077999,彩晶國泰08購03
11824,078000,旺宏富邦06購01
11825,078001,友達富邦06購02
11826,078002,玉晶光富邦07購01
11827,078003,台灣50永豐06購01
11828,078004,上証2X永豐06購01
11829,078005,金寶永豐06購01
11830,078006,南亞科永豐06購01
11831,078007,大毅永豐06購01
11832,078008,嘉晶永豐06購01
11833,078009,玉晶光永豐06購03
11834,078010,群創永豐06購01
11835,078011,TPK永豐06購01
11836,078012,材料永豐06購01
11837,078013,彩晶永豐06購01
11838,078014,達運永豐06購01
11839,078015,精成科永豐06購01
11840,078016,台表科永豐06購01
11841,078017,FBVIX中信09購01
11842,078018,上銀中信06購01
11843,078019,旺宏中信09購01
11844,078020,友達中信06購01
11845,078021,矽格中信07購01
11846,078022,臺股指中信06購06
11847,078023,群創兆豐06購01
11848,078024,為升凱基06購01
11849,078025,華邦電凱基08購01
11850,078026,微星凱基07購01
11851,078027,南亞科凱基08購01
11852,078028,友達凱基09購01
11853,078029,奇力新凱基06購02
11854,078030,華新科凱基06購02
11855,078031,華新科凱基07購01
11856,078032,長榮凱基06購02
11857,078033,長榮凱基08購01
11858,078034,聯詠凱基06購02
11859,078035,玉晶光凱基07購01
11860,078036,群創凱基09購02
11861,078037,嘉澤凱基06購01
11862,078038,世芯凱基06購03
11863,078039,世芯凱基07購02
11864,078040,TPK凱基06購01
11865,078041,致伸凱基06購01
11866,078042,臻鼎凱基06購02
11867,078043,彩晶凱基09購02
11868,078044,嘉聯益凱基08購01
11869,078045,T50反1元大09購01
11870,078046,臺指反元大09購01
11871,078047,道瓊銀元大06購01
11872,078048,亞德客元大06購02
11873,078049,光磊元大06購01
11874,078050,華邦電元大06購01
11875,078051,華邦電元大06購02
11876,078052,佳世達元大06購01
11877,078053,瑞昱元大06購01
11878,078054,南亞科元大06購01
11879,078055,南亞科元大06購02
11880,078056,建準元大06購01
11881,078057,強茂元大06購02
11882,078058,強茂元大07購01
11883,078059,國揚元大06購02
11884,078060,長榮航元大06購01
11885,078061,富邦金元大06購01
11886,078062,國泰金元大06購01
11887,078063,玉晶光元大06購11
11888,078064,世芯元大06購04
11889,078065,日月光元大06購01
11890,078066,彩晶元大06購03
11891,078067,彩晶元大06購04
11892,078068,達運元大06購01
11893,078069,世紀鋼元大07購05
11894,078070,金寶國票07購01
11895,078071,國巨國票08購03
11896,078072,華邦電國票08購01
11897,078073,晶技國票07購01
11898,078074,台表科國票08購01
11899,078075,惠特國票08購01
11900,078076,華邦電國泰08購01
11901,078077,南亞科富邦08購01
11902,078078,萬海富邦08購01
11903,078079,智伸科富邦08購01
11904,078080,台郡富邦06購01
11905,078081,矽創富邦08購01
11906,078082,華邦電永豐06購02
11907,078083,強茂永豐06購01
11908,078084,玉晶光永豐06購04
11909,078085,世芯永豐07購02
11910,078086,世芯永豐07購03
11911,078087,聯電統一06購10
11912,078088,華通統一06購04
11913,078089,南亞科統一06購02
11914,078090,強茂統一07購01
11915,078091,強茂統一08購01
11916,078092,大立光統一06購11
11917,078093,世芯統一08購01
11918,078094,世芯統一0A購01
11919,078095,世芯統一0A購02
11920,078096,世芯統一0B購01
11921,078097,台表科統一06購02
11922,078098,長華統一08購01
11923,078099,長華統一08購02
11924,078100,上証2X元富06購01
11925,078101,上証2X元富06購02
11926,078102,台聚元富0C購01
11927,078103,聚陽元富0C購01
11928,078104,華城元富07購01
11929,078105,亞德客元富07購01
11930,078106,和桐元富0C購01
11931,078107,喬山元富0C購01
11932,078108,勝一元富0C購01
11933,078109,聯電元富06購07
11934,078110,聯電元富08購03
11935,078111,宏碁元富0C購01
11936,078112,致茂元富0C購01
11937,078113,技嘉元富0C購01
11938,078114,漢唐元富0C購01
11939,078115,南亞科元富07購05
11940,078116,強茂元富07購03
11941,078117,強茂元富09購01
11942,078118,強茂元富09購02
11943,078119,富邦金元富0C購01
11944,078120,開發金元富0C購01
11945,078121,玉山金元富0C購01
11946,078122,嘉晶元富0C購01
11947,078123,世芯元富06購02
11948,078124,世芯元富07購01
11949,078125,元石油群益06購01
11950,078126,FBVIX群益06購01
11951,078127,FANG+群益06購01
11952,078128,FANG+群益06購02
11953,078129,亞德客群益06購01
11954,078130,聯電群益06購04
11955,078131,台達電群益06購01
11956,078132,國巨群益06購01
11957,078133,國巨群益06購02
11958,078134,旺宏群益06購01
11959,078135,旺宏群益06購02
11960,078136,華邦電群益06購01
11961,078137,華邦電群益06購02
11962,078138,瑞昱群益06購01
11963,078139,南亞科群益06購01
11964,078140,南亞科群益06購02
11965,078141,聯發科群益08購01
11966,078142,全新群益06購01
11967,078143,強茂群益06購01
11968,078144,日月光群益07購02
11969,078145,GIS群益06購01
11970,078146,長華群益06購01
11971,078147,長榮第一06購01
11972,078148,大成鋼中信06購01
11973,078149,為升中信0A購01
11974,078150,華邦電中信0A購01
11975,078151,全新中信09購01
11976,078152,信邦中信06購02
11977,078153,群創中信0A購01
11978,078154,台表科中信09購01
11979,078155,晶碩中信09購01
11980,078156,滬深2X凱基08購02
11981,078157,SGBR2X凱基06購02
11982,078158,大成凱基06購01
11983,078159,大成鋼凱基07購02
11984,078160,聯電凱基07購02
11985,078161,聯電凱基08購01
11986,078162,國巨凱基07購02
11987,078163,國巨凱基07購03
11988,078164,海悅凱基06購01
11989,078165,國泰金凱基06購01
11990,078166,聯陽凱基06購01
11991,078167,京鼎凱基06購01
11992,078168,聯鈞凱基06購01
11993,078169,同欣電凱基06購02
11994,078170,美利達凱基06購01
11995,078171,臺股指凱基07購03
11996,078172,大成鋼康和06購01
11997,078173,大成鋼兆豐06購01
11998,078174,國巨兆豐06購06
11999,078175,南亞科兆豐06購01
12000,078176,強茂兆豐07購01
12001,078177,大立光兆豐06購03
12002,078178,世芯兆豐06購01
12003,078179,世芯兆豐07購01
12004,078180,彩晶兆豐06購01
12005,078181,上証2X元大09購01
12006,078182,滬深2X元大07購07
12007,078183,中石化元大0A購01
12008,078184,大成鋼元大06購03
12009,078185,為升元大07購01
12010,078186,台達電元大07購01
12011,078187,華通元大06購01
12012,078188,旺宏元大06購05
12013,078189,華邦電元大08購01
12014,078190,金像電元大07購01
12015,078191,微星元大06購01
12016,078192,友達元大06購02
12017,078193,友達元大06購03
12018,078194,全新元大06購01
12019,078195,可成元大06購02
12020,078196,中工元大09購01
12021,078197,美食元大06購01
12022,078198,晶技元大06購01
12023,078199,群創元大06購02
12024,078200,眾達元大06購01
12025,078201,瀚宇博元大06購01
12026,078202,彩晶元大09購01
12027,078203,瑞儀元大07購01
12028,078204,力成元大06購01
12029,078205,同欣電元大07購01
12030,078206,台表科元大07購02
12031,078207,緯穎元大07購01
12032,078208,長華元大07購01
12033,078209,聯電國泰08購01
12034,078210,聯電國泰08購02
12035,078211,旺宏國泰08購02
12036,078212,聯電富邦08購01
12037,078213,微星富邦07購01
12038,078214,友達富邦08購01
12039,078215,聯詠富邦08購01
12040,078216,道瓊銀永豐06購01
12041,078217,亞德客永豐06購01
12042,078218,寶齡永豐06購01
12043,078219,聯電永豐06購01
12044,078220,華通永豐06購01
12045,078221,國巨永豐06購01
12046,078222,友達永豐06購01
12047,078223,聯詠永豐06購01
12048,078224,京鼎永豐06購01
12049,078225,聯鈞永豐06購01
12050,078226,晶碩永豐06購01
12051,078227,南茂永豐06購01
12052,078228,華邦電元富07購03
12053,078229,華邦電元富09購02
12054,078230,華邦電元富0A購06
12055,078231,智邦元富09購03
12056,078232,南亞科元富09購03
12057,078233,長榮元富09購01
12058,078234,晶技元富0C購01
12059,078235,健鼎元富0C購01
12060,078236,景碩元富0C購01
12061,078237,新日興元富0C購01
12062,078238,牧德元富0C購01
12063,078239,達麗元富0C購01
12064,078240,精成科元富0C購01
12065,078241,帆宣元富0C購01
12066,078242,聯茂元富0C購01
12067,078243,康舒元富0C購01
12068,078244,晶碩元富07購03
12069,078245,達方元富09購02
12070,078246,台灣50群益06購01
12071,078247,T50正2群益06購02
12072,078248,T50反1群益08購02
12073,078249,SP黃豆群益06購01
12074,078250,華新群益06購01
12075,078251,鴻海群益06購02
12076,078252,鴻海群益07購01
12077,078253,國巨群益06購03
12078,078254,智邦群益06購01
12079,078255,華新科群益06購03
12080,078256,大立光群益07購02
12081,078257,亞光群益06購01
12082,078258,禾伸堂群益06購01
12083,078259,聯詠群益06購02
12084,078260,京鼎群益07購01
12085,078261,同欣電群益06購02
12086,078262,台表科群益06購01
12087,078263,GIS群益07購01
12088,078264,惠特群益06購01
