,stock_no,stock_name
444,03725C,T50反1元大07牛06
445,03726C,臺股指元大11牛01
446,03727C,T50反1元大08牛09
447,03728C,T50反1凱基09牛02
448,03729C,臺股指元大05牛55
449,03730C,T50反1元大0A牛09
450,03730P,鴻海元富08售08
451,03731C,台灣50元大08牛07
452,03731P,國巨元富08售08
453,03732C,T50反1元大08牛10
454,03732P,台積電元富08售22
455,03733C,臺股指元大06牛20
456,03733P,大毅元富08售01
457,03734C,T50反1凱基0C牛06
458,03735C,台灣50富邦0C牛01
459,03735P,牧德元富08售02
460,03736C,大立光富邦0C牛01
461,03736P,南電兆豐04售01
462,03737C,T50正2富邦0C牛01
463,03738C,元石油富邦0B牛01
464,03739C,鴻海富邦0C牛01
465,03740C,聯發科富邦0C牛01
466,03740P,可成元大04售01
467,03741C,臺股指元大06牛21
468,03742C,臺股指元大11牛02
469,03743C,國泰金富邦13牛01
470,03744C,玉山金富邦13牛01
471,03744P,台灣50台新05售01
472,03745C,元大金富邦13牛01
473,03745P,金像電元富06售01
474,03746C,新光金富邦13牛01
475,03746P,群創元富04售02
476,03747C,聯電富邦13牛01
477,03747P,金寶國票04售01
478,03748C,台積電富邦0C牛01
479,03748P,美律國票04售01
480,03749P,大立光國票04售01
481,03750P,欣興國票04售01
482,03751P,新日興國票04售01
483,03752P,創意國票04售01
484,03753P,智易國票04售01
485,03754P,貿聯國票04售01
486,03755P,力成國票04售01
487,03756P,南電國票04售01
488,03757P,巨大國票04售01
489,03758P,百和國票04售01
490,03759P,金像電國泰05售01
491,03760P,聯發科國泰05售01
492,03765P,和大群益04售01
493,03767P,聯電群益05售01
494,03769P,瑞昱群益05售01
495,03770P,可成群益04售01
496,03771P,南電群益05售01
497,03778P,聚陽國票04售01
498,03779P,神隆國票04售01
499,03780P,宏碁國票04售01
500,03781P,聯陽國票04售01
501,03782P,智伸科國票04售02
502,03783P,玉晶光元富09售01
503,03784P,貿聯元富06售01
504,03785P,南電元富09售02
505,03786P,致茂中信07售02
506,03787P,瑞昱中信09售01
507,03788P,群創中信09售01
508,03796P,喬山國票04售01
509,03797P,裕隆國票04售01
510,03798P,聯發科國票04售02
511,03800P,大立光元富09售03
512,03801P,大立光元富09售04
513,03802P,玉晶光元富09售02
514,03803P,大立光凱基03售08
515,03804P,帆宣凱基03售03
516,03805P,聯發科兆豐03售06
517,03806P,大立光群益03售08
518,03807P,牧德群益03售02
519,03808P,台灣50元大03售10
520,03809P,義隆元大03售02
521,03810P,群創元大03售04
522,03811P,臻鼎元大03售02
523,03812P,惠特元大03售03
524,03813P,南電元大03售06
525,03814P,義隆國票04售01
526,03815P,瑞祺國票04售01
527,03816P,惠特國票04售01
528,03817P,南電元富09售04
529,03818P,聯發科台新03售02
530,03819P,友達中信03售01
531,03820P,華邦電凱基03售01
532,03821P,惠特凱基03售03
533,03822P,中興電國票04售03
534,03823P,南亞科國票04售01
535,03824P,聯鈞國票04售01
536,03825P,正文國票04售01
537,03826P,台灣50元大04售01
538,03827P,智邦元大03售03
539,03828P,上銀元富05售02
540,03829P,友達元富06售01
541,03830P,南電國泰05售01
542,03831P,牧德永豐03售01
543,03832P,義隆群益04售02
544,03833P,玉晶光群益04售03
545,03834P,微星凱基03售03
546,03835P,欣興凱基03售08
547,03836P,南電凱基03售04
548,03837P,臺股指中信06售01
549,03838P,達方國票04售02
550,03839P,台灣50群益04售01
551,03841P,上銀群益03售05
552,03842P,華邦電群益03售03
553,03843P,聯發科群益04售03
554,03844P,玉晶光群益04售04
555,03845P,台灣50元大06售01
556,03846P,友達元大03售06
557,03847P,美律元大03售01
558,03848P,國泰金元大03售02
559,03849P,玉晶光元大03售13
560,03850P,矽力元大03售01
561,03851P,電子類元大03售01
562,03852P,金融類元大03售01
563,03853P,大立光元富09售06
564,03854P,玉晶光元富07售02
565,03855P,群創元富04售03
566,03856P,南電元富07售02
567,03858P,聯電國泰05售01
568,03859P,台積電國泰05售02
569,03860P,大立光國泰07售01
570,03862P,台灣50中信07售01
571,03863P,臺股指凱基06售03
572,03864P,上証2X群益03售09
573,03865P,滬深2X群益03售10
574,03866P,金像電群益03售03
575,03867P,A50正2元富09售01
576,03868P,佳世達國票04售02
577,03869P,金像電國票04售01
578,03870P,晶技國票04售01
579,03871P,華擎國票04售01
580,03872P,致伸國票04售01
581,03873P,康舒國票04售02
582,03874P,啟碁國票04售02
583,03875P,滬深2X國票05售01
584,03876P,緯穎國票04售01
585,03877P,聯發科元大03售05
586,03878P,奇鋐元大03售04
587,03879P,臺股指元大04售09
588,03880P,臺股指元大04售13
589,03881P,臺股指元大04售14
590,03882P,臺股指元大04售15
591,03883P,台灣50第一03售01
592,03884P,台積電群益03售13
593,03885P,臺股指群益03售07
594,03886P,臺股指群益03售08
595,03887P,友達凱基03售04
596,03888P,義隆凱基03售02
597,03889P,群創凱基03售07
598,03890P,緯穎凱基03售04
599,03891P,台灣50元大04售02
600,03892P,儒鴻元大03售03
601,03893P,智邦元大03售04
602,03894P,技嘉元大03售01
603,03895P,緯穎元大03售04
604,03896P,南電元大03售08
605,03897P,中石化國票04售02
606,03898P,鴻海國票04售02
607,03899P,微星國票04售01
608,03900P,健策國票04售01
609,03901P,南電國票04售02
610,03902P,玉晶光國泰05售01
611,03903P,台灣50中信07售02
612,03904P,台積電凱基03售15
613,03905P,技嘉凱基03售03
614,03906P,臺股指凱基03售11
615,03907P,臺股指凱基03售12
616,03908P,臺股指凱基03售13
617,03909P,臺股指凱基03售14
618,03910P,亞德客國票03售02
619,03911P,聯電統一03售09
620,03912P,台積電元富07售19
621,03913P,牧德元富07售02
622,03914P,台灣50群益03售13
623,03915P,技嘉群益03售05
624,03916P,可成群益04售02
625,03917P,華擎群益04售01
626,03918P,南六群益03售03
627,03919P,嘉澤永豐03售01
628,03920P,緯穎永豐03售03
629,03921P,金像電元大03售07
630,03922P,台光電元大03售02
631,03923P,聯發科元大03售06
632,03924P,上緯控元大03售04
633,03925P,高股息中信05售01
634,03926P,台積電群益03售15
635,03927P,大立光群益03售10
636,03928P,奇鋐群益03售01
637,03929P,聯茂群益03售02
638,03930P,南電群益04售02
639,03931P,光磊國票04售02
640,03932P,上緯控國票03售05
641,03933P,樺漢國票04售01
642,03934P,宏碁元大03售01
643,03935P,義隆元大03售04
644,03936P,玉山金康和03售01
645,03937P,臺股指麥證03售05
646,03938P,上銀元富03售01
647,03939P,聯發科元富07售10
648,03940P,華擎凱基03售03
649,03941P,健策凱基03售04
650,03942P,上緯控凱基03售02
651,03943P,臺股指凱基03售17
652,03944P,臺股指凱基03售18
653,03945P,臺股指凱基03售19
654,03946P,臺股指凱基03售20
655,03947P,鴻海凱基05售02
656,03948P,玉晶光凱基04售04
657,03949P,台灣50元大04售04
658,03950P,T50反1元大06售01
659,03951P,為升元大03售03
660,03952P,華通元大03售02
661,03953P,智邦元大03售05
662,03954P,奇鋐元大03售10
663,03955P,金像電國票04售02
664,03956P,精元國票03售02
665,03957P,奇鋐國票04售02
666,03958P,同欣電國票03售02
667,03959P,致新國票03售01
668,03960P,台灣50凱基03售08
669,03961P,台灣50凱基05售04
670,03962P,T50反1凱基03售06
671,03963P,旺宏凱基03售04
672,03964P,燿華凱基03售02
673,03965P,瑞昱凱基03售04
674,03966P,南亞科凱基03售01
675,03967P,大立光凱基03售09
676,03968P,景碩凱基03售04
677,03969P,力山元大03售03
678,03970P,大成鋼元大03售01
679,03971P,台積電元大03售14
680,03972P,長榮航元大03售04
681,03973P,京鼎元大03售01
682,03974P,臺股指元大03售20
683,03975P,國揚國票03售02
684,03976P,上緯控國票03售06
685,03977P,瑞儀國票04售01
686,03978P,上銀元富06售01
687,03979P,美律元富06售01
688,03980P,臺股指元富06售01
689,03981P,臺股指元富06售02
690,03982P,台積電永豐03售02
691,03983P,欣興兆豐04售01
692,03984P,台灣50凱基03售09
